datetime,x (m),y(m)
17-Sep-2023 18:13:56,79.43,25.16
17-Sep-2023 18:23:56,60.39,19.39
17-Sep-2023 18:33:56,81.13,26.40
17-Sep-2023 18:53:56,95.79,19.45
17-Sep-2023 19:33:56,87.35,29.30
17-Sep-2023 19:43:56,93.65,32.28
17-Sep-2023 20:03:56,52.35,29.49
17-Sep-2023 20:13:56,52.87,25.89
17-Sep-2023 20:23:56,83.38,25.70
17-Sep-2023 20:33:56,66.21,20.71
17-Sep-2023 20:43:56,82.22,26.10
17-Sep-2023 20:53:56,76.40,24.24
17-Sep-2023 21:33:56,77.01,25.87
17-Sep-2023 23:03:56,68.02,32.62
17-Sep-2023 23:13:56,95.94,29.57
17-Sep-2023 23:23:56,77.82,27.55
17-Sep-2023 23:33:56,104.17,22.94
17-Sep-2023 23:43:56,86.82,32.36
17-Sep-2023 23:53:56,96.45,25.43
18-Sep-2023 00:03:56,90.08,29.42
18-Sep-2023 00:13:56,91.90,30.83
18-Sep-2023 00:23:56,111.84,39.56
18-Sep-2023 00:33:56,91.32,28.99
18-Sep-2023 00:43:56,92.63,28.55
18-Sep-2023 00:53:56,91.26,28.94
18-Sep-2023 01:33:56,97.07,23.03
18-Sep-2023 01:43:56,85.15,26.98
18-Sep-2023 01:53:56,96.77,27.21
18-Sep-2023 02:03:56,94.55,29.97
18-Sep-2023 02:13:56,77.99,19.88
18-Sep-2023 06:13:56,71.25,24.23
18-Sep-2023 06:23:56,58.36,20.13
18-Sep-2023 06:33:56,43.91,15.96
18-Sep-2023 06:43:56,63.31,25.38
18-Sep-2023 06:53:56,61.32,23.42
18-Sep-2023 07:03:56,60.76,20.92
18-Sep-2023 07:13:56,49.36,13.45
18-Sep-2023 07:23:56,75.73,22.67
18-Sep-2023 10:53:56,61.99,24.14
18-Sep-2023 11:03:56,80.23,26.81
18-Sep-2023 11:13:56,45.08,17.16
18-Sep-2023 11:23:56,62.49,14.76
18-Sep-2023 11:33:56,59.40,21.49
18-Sep-2023 11:43:56,65.92,20.82
18-Sep-2023 12:03:56,64.98,22.89
18-Sep-2023 12:13:56,42.79,13.13
18-Sep-2023 12:23:56,52.79,17.17
18-Sep-2023 12:33:56,34.02,8.94
18-Sep-2023 12:43:56,79.60,28.77
18-Sep-2023 12:53:56,85.98,24.86
18-Sep-2023 13:03:56,84.13,27.34
18-Sep-2023 13:13:56,50.64,16.45
18-Sep-2023 13:23:56,63.42,27.15
18-Sep-2023 13:33:56,86.93,20.54
18-Sep-2023 13:43:56,58.89,23.52
18-Sep-2023 13:53:56,50.04,16.72
18-Sep-2023 14:53:56,58.85,16.49
18-Sep-2023 15:03:56,74.12,17.53
18-Sep-2023 15:13:56,108.33,34.26
18-Sep-2023 15:23:56,113.59,32.82
18-Sep-2023 15:33:56,97.53,29.07
18-Sep-2023 15:43:56,80.10,26.77
18-Sep-2023 15:53:56,78.39,25.45
18-Sep-2023 16:03:56,41.58,12.02
18-Sep-2023 16:13:56,56.66,17.40
18-Sep-2023 16:23:56,45.63,16.96
18-Sep-2023 16:33:56,60.96,18.21
18-Sep-2023 16:43:56,80.36,19.03
18-Sep-2023 16:53:56,64.38,15.80
18-Sep-2023 17:03:56,78.42,15.86
18-Sep-2023 17:13:56,89.90,33.42
18-Sep-2023 17:23:56,77.54,29.55
18-Sep-2023 17:33:56,75.93,20.67
18-Sep-2023 17:43:56,73.90,21.42
18-Sep-2023 17:53:56,89.86,17.45
18-Sep-2023 18:03:57,71.09,20.59
18-Sep-2023 18:23:57,62.50,27.45
18-Sep-2023 18:33:56,69.39,32.18
18-Sep-2023 18:43:56,67.28,32.89
18-Sep-2023 18:53:57,68.29,23.50
18-Sep-2023 19:03:56,64.35,15.82
18-Sep-2023 19:43:56,61.42,36.55
18-Sep-2023 19:53:56,88.87,29.78
18-Sep-2023 20:03:56,91.94,30.83
18-Sep-2023 20:13:56,65.67,17.32
18-Sep-2023 20:23:56,75.04,21.08
18-Sep-2023 21:03:56,77.24,25.92
18-Sep-2023 21:13:56,67.54,28.36
18-Sep-2023 21:23:56,73.51,25.32
18-Sep-2023 21:43:56,68.43,21.69
18-Sep-2023 21:53:57,82.98,31.66
18-Sep-2023 22:03:57,36.85,14.41
18-Sep-2023 22:13:56,38.62,6.51
18-Sep-2023 22:23:56,36.61,7.74
18-Sep-2023 22:33:57,74.14,15.69
18-Sep-2023 22:43:56,81.84,28.18
18-Sep-2023 23:23:57,119.27,29.27
18-Sep-2023 23:33:56,129.39,17.47
19-Sep-2023 00:23:57,67.58,23.88
19-Sep-2023 00:33:57,47.77,17.76
19-Sep-2023 00:43:56,76.33,26.25
19-Sep-2023 00:53:56,81.86,28.19
19-Sep-2023 01:13:56,113.60,32.92
19-Sep-2023 01:23:56,92.00,30.83
19-Sep-2023 01:33:56,89.75,23.63
