datetime,x (m),y(m)
17-Sep-2023 17:27:58,-11.15,-4.40
17-Sep-2023 17:37:58,-70.40,-24.99
17-Sep-2023 17:47:57,-71.33,-22.53
17-Sep-2023 18:17:57,-70.02,-24.84
17-Sep-2023 18:27:56,-73.43,-25.34
17-Sep-2023 18:37:56,-71.11,-25.23
17-Sep-2023 18:47:56,-72.38,-25.05
17-Sep-2023 18:57:56,-73.89,-24.22
17-Sep-2023 19:07:57,-75.46,-26.11
17-Sep-2023 19:17:56,-71.03,-25.26
17-Sep-2023 19:27:56,-74.66,-25.19
17-Sep-2023 19:37:56,-73.87,-24.24
17-Sep-2023 19:47:56,-76.77,-25.88
17-Sep-2023 19:57:56,-87.67,-31.18
17-Sep-2023 20:07:56,-70.61,-16.29
17-Sep-2023 20:17:56,-48.00,-12.11
17-Sep-2023 20:27:57,-94.80,-26.00
17-Sep-2023 20:37:56,-100.37,-20.53
17-Sep-2023 20:47:56,-91.80,-11.80
17-Sep-2023 20:57:56,-79.72,-16.31
17-Sep-2023 23:07:56,-71.86,-21.00
17-Sep-2023 23:17:56,-75.73,-22.80
17-Sep-2023 23:27:57,-70.28,-21.79
17-Sep-2023 23:57:56,-89.74,-24.61
18-Sep-2023 00:07:56,-83.66,-29.34
18-Sep-2023 00:17:56,-56.27,-24.25
18-Sep-2023 00:27:57,-58.68,-27.05
18-Sep-2023 00:37:56,-63.43,-30.51
18-Sep-2023 00:47:56,-82.38,-33.14
18-Sep-2023 01:47:56,-72.98,-21.28
18-Sep-2023 01:57:56,-77.51,-30.07
18-Sep-2023 02:07:56,-73.77,-36.21
18-Sep-2023 02:17:56,-68.46,-23.07
18-Sep-2023 02:27:56,-61.03,-16.17
18-Sep-2023 06:17:56,-74.72,-27.98
18-Sep-2023 06:27:56,-59.51,-8.66
18-Sep-2023 06:37:56,-71.32,-24.71
18-Sep-2023 06:47:56,-89.63,-28.57
18-Sep-2023 06:57:56,-81.67,-23.84
18-Sep-2023 07:07:56,-71.89,-23.57
18-Sep-2023 07:17:56,-64.77,-18.32
18-Sep-2023 07:27:56,-69.32,-16.57
18-Sep-2023 08:17:56,-75.45,-28.93
18-Sep-2023 08:27:56,-80.61,-24.96
18-Sep-2023 08:37:56,-85.68,-20.46
18-Sep-2023 08:47:56,-83.08,-31.07
18-Sep-2023 08:57:56,-77.08,-28.02
18-Sep-2023 09:07:56,-86.23,-25.11
18-Sep-2023 09:17:56,-85.44,-31.07
18-Sep-2023 09:27:56,-73.98,-21.54
18-Sep-2023 09:37:56,-73.26,-18.08
18-Sep-2023 09:47:56,-85.63,-30.36
18-Sep-2023 09:57:56,-68.29,-18.66
18-Sep-2023 10:37:56,-59.68,-20.60
18-Sep-2023 10:47:56,-67.42,-33.02
18-Sep-2023 10:57:56,-92.30,-30.95
18-Sep-2023 11:07:56,-85.47,-24.09
18-Sep-2023 11:17:56,-89.52,-23.63
18-Sep-2023 11:27:56,-90.46,-33.71
18-Sep-2023 11:37:56,-92.31,-30.97
18-Sep-2023 11:47:56,-87.49,-31.78
18-Sep-2023 11:57:56,-90.11,-26.96
18-Sep-2023 12:07:56,-90.99,-35.62
18-Sep-2023 12:17:56,-96.80,-36.04
18-Sep-2023 12:27:56,-78.96,-29.40
18-Sep-2023 12:37:56,-79.52,-31.11
18-Sep-2023 12:47:56,-67.23,-20.72
18-Sep-2023 12:57:56,-84.69,-31.57
18-Sep-2023 13:07:56,-103.58,-42.53
